id,routing_result
0,.begin 94
1,.V 231 0 10
2,.V 253 30 59
3,.V 254 10 30
4,.H 231 10 254
5,.H 253 30 254
6,.end
7,.begin 81
8,.V 209 0 25
9,.V 225 25 26
10,.V 247 52 59
11,.V 260 51 52
12,.V 265 50 51
13,.V 267 49 50
14,.V 269 26 49
15,.H 209 25 225
16,.H 225 26 269
17,.H 267 49 269
18,.H 265 50 267
19,.H 260 51 265
20,.H 247 52 260
21,.end
22,.begin 4
23,.V 57 0 19
24,.V 195 19 20
25,.V 226 20 21
26,.V 243 41 59
27,.V 259 21 41
28,.H 57 19 195
29,.H 195 20 226
30,.H 226 21 259
31,.H 243 41 259
32,.end
33,.begin 92
34,.V 242 36 59
35,.V 244 0 18
36,.V 248 18 36
37,.H 244 18 248
38,.H 242 36 248
39,.end
40,.begin 56
41,.V 153 0 5
42,.V 218 5 6
43,.V 241 32 59
44,.V 252 6 32
45,.H 153 5 218
46,.H 218 6 252
47,.H 241 32 252
48,.end
49,.begin 22
50,.V 181 0 21
51,.V 225 21 22
52,.V 236 47 59
53,.V 265 22 47
54,.H 181 21 225
55,.H 225 22 265
56,.H 236 47 265
57,.end
58,.begin 83
59,.V 232 0 14
60,.V 235 41 59
61,.V 235 0 14
62,.V 236 0 14
63,.V 238 41 59
64,.V 239 41 59
65,.V 239 0 14
66,.V 240 40 41
67,.V 242 0 14
68,.V 245 0 14
69,.V 246 40 59
70,.V 246 0 14
71,.V 248 40 59
72,.V 248 14 15
73,.V 249 40 59
74,.V 250 40 59
75,.V 258 15 40
76,.H 232 14 248
77,.H 248 15 258
78,.H 240 40 258
79,.H 235 41 240
80,.end
81,.begin 71
82,.V 220 0 3
83,.V 234 30 59
84,.V 248 3 4
85,.V 251 4 30
86,.H 220 3 248
87,.H 248 4 251
88,.H 234 30 251
89,.end
90,.begin 19
91,.V 187 0 16
92,.V 200 16 17
93,.V 223 0 17
94,.V 233 34 59
95,.V 235 17 34
96,.V 251 34 59
97,.H 187 16 200
98,.H 200 17 235
99,.H 233 34 251
100,.end
101,.begin 72
102,.V 219 0 5
103,.V 230 30 59
104,.V 233 5 30
105,.H 219 5 233
106,.H 230 30 233
107,.end
108,.begin 36
109,.V 229 38 59
110,.V 243 0 24
111,.V 250 24 38
112,.H 243 24 250
113,.H 229 38 250
114,.end
115,.begin 25
116,.V 137 0 18
117,.V 196 18 19
118,.V 228 32 59
119,.V 228 19 20
120,.V 237 20 32
121,.H 137 18 196
122,.H 196 19 228
123,.H 228 20 237
124,.H 228 32 237
125,.end
126,.begin 40
127,.V 210 48 59
128,.V 233 0 1
129,.V 251 1 2
130,.V 253 2 3
131,.V 255 3 48
132,.H 233 1 251
133,.H 251 2 253
134,.H 253 3 255
135,.H 210 48 255
136,.end
137,.begin 57
138,.V 203 39 59
139,.V 204 0 16
140,.V 206 16 39
141,.V 209 39 59
142,.V 213 39 59
143,.V 215 0 18
144,.V 215 39 59
145,.V 216 39 59
146,.V 220 39 59
147,.V 225 0 18
148,.V 225 39 59
149,.V 226 0 18
150,.V 242 18 19
151,.V 250 19 20
152,.V 256 38 39
153,.V 263 37 38
154,.V 265 20 21
155,.V 267 21 37
156,.H 204 16 206
157,.H 215 18 242
158,.H 242 19 250
159,.H 250 20 265
160,.H 265 21 267
161,.H 263 37 267
162,.H 256 38 263
163,.H 203 39 256
164,.end
165,.begin 33
166,.V 193 0 7
167,.V 194 0 7
168,.V 195 0 7
169,.V 196 0 7
170,.V 198 0 7
171,.V 199 0 7
172,.V 200 47 59
173,.V 200 0 7
174,.V 201 47 59
175,.V 202 47 59
176,.V 206 47 59
177,.V 226 46 47
178,.V 261 7 8
179,.V 262 8 9
180,.V 263 45 46
181,.V 263 9 10
182,.V 265 10 11
183,.V 266 11 12
184,.V 267 44 45
185,.V 267 12 13
186,.V 268 13 14
187,.V 269 14 15
188,.V 270 15 16
189,.V 271 16 17
190,.V 272 43 44
191,.V 272 17 18
192,.V 273 18 43
193,.H 193 7 261
194,.H 261 8 262
195,.H 262 9 263
196,.H 263 10 265
197,.H 265 11 266
198,.H 266 12 267
199,.H 267 13 268
200,.H 268 14 269
201,.H 269 15 270
202,.H 270 16 271
203,.H 271 17 272
204,.H 272 18 273
205,.H 272 43 273
206,.H 267 44 272
207,.H 263 45 267
208,.H 226 46 263
209,.H 200 47 226
210,.end
211,.begin 80
212,.V 184 0 29
213,.V 198 29 59
214,.V 223 29 59
215,.V 244 29 59
216,.H 184 29 244
217,.end
218,.begin 15
219,.V 190 0 14
220,.V 196 32 59
221,.V 208 0 14
222,.V 210 14 32
223,.V 211 32 59
224,.V 212 32 59
225,.V 218 32 59
226,.V 219 32 59
227,.H 190 14 210
228,.H 196 32 219
229,.end
230,.begin 11
231,.V 117 0 9
232,.V 194 46 59
233,.V 200 9 10
234,.V 221 10 46
235,.H 117 9 200
236,.H 200 10 221
237,.H 194 46 221
238,.end
239,.begin 52
240,.V 188 0 13
241,.V 192 0 13
242,.V 193 57 59
243,.V 205 57 59
244,.V 206 0 13
245,.V 208 57 59
246,.V 212 0 13
247,.V 216 0 13
248,.V 221 57 59
249,.V 222 57 59
250,.V 240 56 57
251,.V 259 55 56
252,.V 262 13 55
253,.H 188 13 262
254,.H 259 55 262
255,.H 240 56 259
256,.H 193 57 240
257,.end
258,.begin 91
259,.V 126 0 20
260,.V 192 32 59
261,.V 194 20 32
262,.H 126 20 194
263,.H 192 32 194
264,.end
265,.begin 66
266,.V 191 50 59
267,.V 211 0 15
268,.V 239 15 16
269,.V 253 16 17
270,.V 258 49 50
271,.V 259 17 18
272,.V 266 18 49
273,.H 211 15 239
274,.H 239 16 253
275,.H 253 17 259
276,.H 259 18 266
277,.H 258 49 266
278,.H 191 50 258
279,.end
280,.begin 87
281,.V 166 0 27
282,.V 189 48 59
283,.V 204 27 48
284,.V 223 27 28
285,.V 245 29 59
286,.V 246 28 29
287,.H 166 27 223
288,.H 223 28 246
289,.H 245 29 246
290,.H 189 48 204
291,.end
292,.begin 46
293,.V 188 44 59
294,.V 247 0 29
295,.V 263 43 44
296,.V 267 42 43
297,.V 272 41 42
298,.V 274 40 41
299,.V 275 29 40
300,.H 247 29 275
301,.H 274 40 275
302,.H 272 41 274
303,.H 267 42 272
304,.H 263 43 267
305,.H 188 44 263
306,.end
307,.begin 26
308,.V 182 42 59
309,.V 238 0 24
310,.V 242 24 25
311,.V 263 41 42
312,.V 267 40 41
313,.V 272 25 40
314,.H 238 24 242
315,.H 242 25 272
316,.H 267 40 272
317,.H 263 41 267
318,.H 182 42 263
319,.end
320,.begin 67
321,.V 147 0 14
322,.V 167 0 14
323,.V 181 41 59
324,.V 182 14 41
325,.V 224 41 59
326,.V 231 41 59
327,.H 147 14 182
328,.H 181 41 231
329,.end
330,.begin 27
331,.V 171 0 16
332,.V 176 0 16
333,.V 176 34 59
334,.V 177 16 34
335,.V 183 34 59
336,.V 187 34 59
337,.V 205 0 9
338,.V 210 0 9
339,.V 217 34 59
340,.V 220 9 34
341,.H 205 9 220
342,.H 171 16 177
343,.H 176 34 220
344,.end
345,.begin 68
346,.V 174 30 59
347,.V 195 30 59
348,.V 229 0 30
349,.H 174 30 229
350,.end
351,.begin 6
352,.V 15 0 21
353,.V 26 21 22
354,.V 31 0 22
355,.V 47 0 22
356,.V 48 22 23
357,.V 50 0 23
358,.V 72 23 24
359,.V 80 24 25
360,.V 152 0 25
361,.V 173 51 59
362,.V 179 0 25
363,.V 195 25 26
364,.V 197 26 51
365,.V 224 26 27
366,.V 252 36 59
367,.V 253 27 28
368,.V 256 35 36
369,.V 274 28 35
370,.H 15 21 26
371,.H 26 22 48
372,.H 48 23 72
373,.H 72 24 80
374,.H 80 25 195
375,.H 195 26 224
376,.H 224 27 253
377,.H 253 28 274
378,.H 256 35 274
379,.H 252 36 256
380,.H 173 51 197
381,.end
382,.begin 41
383,.V 172 38 59
384,.V 175 0 2
385,.V 175 38 59
386,.V 189 0 2
387,.V 201 37 38
388,.V 218 0 2
389,.V 226 36 37
390,.V 234 0 2
391,.V 240 35 36
392,.V 248 0 2
393,.V 250 2 3
394,.V 252 34 35
395,.V 252 3 4
396,.V 254 4 5
397,.V 256 5 34
398,.H 175 2 250
399,.H 250 3 252
400,.H 252 4 254
401,.H 254 5 256
402,.H 252 34 256
403,.H 240 35 252
404,.H 226 36 240
405,.H 201 37 226
406,.H 172 38 201
407,.end
408,.begin 93
409,.V 156 0 7
410,.V 157 0 7
411,.V 159 52 59
412,.V 159 0 7
413,.V 161 52 59
414,.V 162 52 59
415,.V 163 52 59
416,.V 165 52 59
417,.V 166 52 59
418,.V 189 7 8
419,.V 240 51 52
420,.V 259 8 9
421,.V 259 50 51
422,.V 261 9 10
423,.V 262 10 11
424,.V 264 11 50
425,.H 156 7 189
426,.H 189 8 259
427,.H 259 9 261
428,.H 261 10 262
429,.H 262 11 264
430,.H 259 50 264
431,.H 240 51 259
432,.H 159 52 240
433,.end
434,.begin 96
435,.V 154 0 4
436,.V 155 43 59
437,.V 156 43 59
438,.V 177 43 59
439,.V 178 43 59
440,.V 180 43 59
441,.V 185 0 4
442,.V 186 0 4
443,.V 191 0 4
444,.V 234 4 5
445,.V 253 5 6
446,.V 260 6 43
447,.H 154 4 234
448,.H 234 5 253
449,.H 253 6 260
450,.H 155 43 260
451,.end
452,.begin 79
453,.V 76 0 26
454,.V 124 0 26
455,.V 154 41 59
456,.V 156 26 41
457,.V 190 46 59
458,.V 193 26 46
459,.H 76 26 193
460,.H 154 41 156
461,.H 190 46 193
462,.end
463,.begin 74
464,.V 146 46 59
465,.V 151 46 59
466,.V 151 0 13
467,.V 170 0 13
468,.V 177 0 13
469,.V 180 0 13
470,.V 182 0 13
471,.V 185 13 14
472,.V 189 14 46
473,.H 151 13 185
474,.H 185 14 189
475,.H 146 46 189
476,.end
477,.begin 30
478,.V 145 47 59
479,.V 148 0 10
480,.V 199 10 47
481,.H 148 10 199
482,.H 145 47 199
483,.end
484,.begin 86
485,.V 144 38 59
486,.V 169 0 16
487,.V 170 16 38
488,.H 169 16 170
489,.H 144 38 170
490,.end
491,.begin 44
492,.V 143 41 59
493,.V 144 0 13
494,.V 150 13 41
495,.H 144 13 150
496,.H 143 41 150
497,.end
498,.begin 97
499,.V 142 45 59
500,.V 142 0 8
501,.V 157 8 45
502,.V 185 45 59
503,.V 221 0 9
504,.V 227 45 59
505,.V 228 0 9
506,.V 257 9 10
507,.V 259 10 11
508,.V 261 11 45
509,.H 142 8 157
510,.H 221 9 257
511,.H 257 10 259
512,.H 259 11 261
513,.H 142 45 261
